merchant_id,customer_id,customer_name,contact_ref,consent,payment_id,paid_at,amount_minor,status
mch_demo_bengaluru,CUST-C22,Synthetic Customer C22,synthetic-sms:+91-5552-1022,true,PAY-00243,2026-06-23T11:30:00+05:30,15248,settled
mch_demo_bengaluru,CUST-A20,Synthetic Customer A20,synthetic-sms:+91-5550-1020,true,PAY-00071,2026-07-06T09:30:00+05:30,34783,settled
mch_demo_bengaluru,CUST-A06,Synthetic Customer A06,synthetic-sms:+91-5550-1006,true,PAY-00022,2026-07-06T10:30:00+05:30,31612,settled
mch_demo_bengaluru,CUST-B26,Synthetic Customer B26,synthetic-sms:+91-5551-1026,true,PAY-00189,2026-07-06T11:30:00+05:30,15173,settled
mch_demo_bengaluru,CUST-A19,Synthetic Customer A19,synthetic-sms:+91-5550-1019,true,PAY-00067,2026-07-06T13:30:00+05:30,25447,settled
mch_demo_bengaluru,CUST-A11,Synthetic Customer A11,synthetic-sms:+91-5550-1011,true,PAY-00039,2026-07-07T10:30:00+05:30,14150,settled
mch_demo_bengaluru,CUST-A21,Synthetic Customer A21,synthetic-sms:+91-5550-1021,false,PAY-00074,2026-07-07T10:30:00+05:30,17226,settled
mch_demo_bengaluru,CUST-A12,Synthetic Customer A12,synthetic-sms:+91-5550-1012,true,PAY-00043,2026-07-07T11:30:00+05:30,17439,settled
mch_demo_bengaluru,CUST-A08,Synthetic Customer A08,synthetic-sms:+91-5550-1008,true,PAY-00029,2026-07-07T12:30:00+05:30,25630,settled
mch_demo_bengaluru,CUST-A15,Synthetic Customer A15,synthetic-sms:+91-5550-1015,true,PAY-00053,2026-07-08T09:30:00+05:30,14921,settled
mch_demo_bengaluru,CUST-A21,Synthetic Customer A21,synthetic-sms:+91-5550-1021,false,PAY-00075,2026-07-08T10:30:00+05:30,30825,settled
mch_demo_bengaluru,CUST-B13,Synthetic Customer B13,synthetic-sms:+91-5551-1013,true,PAY-00137,2026-07-08T10:30:00+05:30,12689,settled
